aggregator,name,ticker,mint,
EADv4J45H5hS17H8UGyEoY5K9ML7T7467mSCcm5jMrSL,GHS_USD_prod,GHS,7KHPgzBmot6jD8CKW3KLT9SmVFDPQUzJeXDY3yCku1j7,
7fMKXU6AnatycNu1CAMndLkKmDPtjZaPNZSJSfXR92Ez,DUAL / USDC,DUAL,DUALa4FC2yREwZ59PHeu1un4wis36vHRv5hWVBmzykCJ,
BvgzRgwPanJcGoAzYrZAjSEGt2uWLpcweowkdRYfzBSV,SHDW/USD,SHDW,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,
7LU1Gc96WLoLKqBDqkp5PALzTRzKNctFVcuqMGwqiRfm,BASIS/USD,BASIS,Basis9oJw9j8cw53oMV7iqsgo6ihi9ALw4QR31rcjUJa,
2EU8d2ohBgKBYnHUFQL3oqQWX2jFkZiKBPmaDAbZMRdP,LaineSOL/USD,LaineSOL,LAinEtNLgpmCP9Rvsf5Hn8W6EhNiKLZQti1xfWMLy6X,
4puRw78QsrsFmWZvoxKXNcb2WtfU7MnsYL9pC3oRrkr6,LARIX/USD,LARIX,Lrxqnh6ZHKbGy3dcrCED43nsoLkM1LTzU2jRfWe8qUC,
HkyjsCbDZsVu9uzqqFRnP7rmaHB7ubRiKCgNBUZDz5jb,RLB/USD,RLB,RLBxxFkseAZ4RgJH3Sqn8jXxhmGoz9jWxDNJMh8pL7a,
AwkuTbEehMPG6xfjFBs2MZkKf1fRyQvGKgpZb3WHXMik,HXRO/USD,HXRO,HxhWkVpk5NS4Ltg5nij2G671CKXFRKPK8vy271Ub4uEK,
Bys1SNouEqVdbUWj93GfpqwY1bsWjYVYtNZG1QdV5Y1B,GMT/USD,GMT,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,
BnT7954eT3UT4XX5zf9Zwfdrag5h3YmzG8LBRwmXo5Bi,PORT_USD,PORT,PoRTjZMPXb9T7dyU7tpLEZRQj7e6ssfAE62j2oQuc6y,
3Jo3gPFkH1ov54LJVJaS9NMYuMvZAbtHk4aSUPHTzAMU,ORCA/USD,ORCA,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,
DKayKbGmnby8XUagUL3bVLcN7NZKy6j5ugyBmHzwpqc8,PAI_USD,PAI,Ea5SjE2Y6yvCeW5dYTn7PYMuW5ikXkvbGdcmSnXeaLjS,
HFDJtPwJSn2kv96mn5wYUKVhA2QHbphfNtjGeKuyfXnm,SBR_USD,SBR,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,
5ro9z5HxJtSeATderc8NgTQh37HP1ZWfJPCQPkFn4Jpq,LINK_USD,LINK,2wpTofQ8SkACrkZWrZDjXPitYa8AwWgX8AfxdeBRRVLX,
HNStfhaLnqwF2ZtJUizaA9uHDAVB976r2AgTUx9LrdEo,ETH_USD,ETH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,
5WQJQmgDCeDRAqqqtTRdzb4WZcZs7TkTq1fjtHRxmpGk,DUST/USD,DUST,DUSTawucrTsGU8hcqRdHDCbuYhCPADMLM2VcCb8VnFnQ,
2oALNZVi5czyHvKbnjE4Jf2gR7dNp1FBpEGaq4PzVAf7,RAY_USD,RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,
C3uxt2XLm6jtmMQPN5HrtJ9yVaT4SrSLn7fqiZqR6JV8,RIN/USD,RIN,E5ndSkaB17Dm7CsD22dvcjfrYSDLCxFcMd6z8ddCk5wp,
AJCnhHbBc1L3ULfeVkdnXep4rUyWXQC55CZuUUgCjzbG,SAMO/USD,SAMO,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,
CdznYotJgeszFkEy3p22JtX49EnZaFGZLqLoUgVzHHuh,MER_USD,MER,MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,
CXvUqgvtdbHaTRZgJVQhxkeWuEQutYiUz488NdL97SdG,stSOL/USD (bound),stSOL,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,
4VUFxa6GSLbYdrekvCN6ptiziLT1Z12SpkcCDP9TiBB7,JET/USD,JET,JET6zMJWkCN9tpRT2v2jfAmm5VnQFDpUBCyaKojmGtz,
E4D4C5waNBADKqrqLWDVBbJ7tDUY1hLZPjcch9CvUBdj,soBTC/USD,soBTC,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,
GHGKB6FxuQzFWNEPfN1vevnAYMAb6LeV4La5fhCea8U8,xALGO/USD,xALGO,xALGoH1zUfRmpCriy94qbfoMXHtK6NDnMKzT4Xdvgms,
8fsomfuZvQHeVCNeVHUQReCSDAfoodTiYL2xsk72LNGg,DAI/USD,DAI,EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o,
7UVktChRurRRdyN9u62MpdJwcr1cyPPz5FghqKDCqkuk,POLIS/USD,POLIS,poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,
5xUoyPG9PeowJvfai5jD985LiRvo58isaHrmmcBohi3Y,MNGO/USD,MNGO,MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac,
81muJBhUKQmiRbRrATu5GEaKpeXsFLcFAdaknVDZvE6p,mSOL/USD (bound),mSOL,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,
B6YEdQwjLdP1wx1GSxaTKkeqEKa5ittyTNAi8Q8xPRCU,FIDA/USD,FIDA,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,
C5M3Srb9F4LrTyVWDmPQoFmUNAvgYwh1pA65myGuUFtP,ATLAS/USD,ATLAS,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,
ExaSzwc3FmDyNuYG6mZ95kZyWkYVyDxtEQQRDtGxqptd,SLND/USD,SLND,SLNDpmoWTVADgEdndyvWzroNL7zSi1dF9PC3xHGtPwp,
CUgoqwiQ4wCt6Tthkrgx5saAEpLBjPCdHshVa4Pbfcx2,SRM_USD,SRM,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,
57EF89YgEUUcxtm8upPFmi7rHVzfJDMVsm2BHgtVM3yR,FTT_USD,FTT,AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,
2t1goX8trxz5R7iQZMW62zvRnB8kXEkYjAiSgLsjYY46,MNDE/USD Twap,MNDE,MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,
AKp55LbpDZSEjJVXjWWYvqF3KiktSvFNKk6YojdPJ9zN,USH/USDC,USH,9iLH8T7zoWhY7sBmj1WK9ENbWdS1nL8n9wAxaeRitTa6,
GvDMxPzN1sCj7L26YDK2HnMRXEQmQ2aemov8YBtPS7vR,SOL_USD,SOL,So11111111111111111111111111111111111111112,
4aUbjcFqQNxMVjsgnuxAAmtPZHyyZBsLeJjBM8LYrkFX,SOL/USD,SOL,So11111111111111111111111111111111111111112,
6qBqGAYmoZw2r4fda7671NSUbcDWE4XicJdJoWqK8aTe,BONK/USD,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,
8c4F9FDkhzjNKEHGFtKA3ZZkg7rAowxGbLsZyyh3QzNB,HADES/USD,HADES,BWXrrYFhT7bMHmNBFoQFWdsSgA3yXoAnMhDK6Fn1eSEn,
CdvmFaR2m3cL2YuDg9cSb2m3nKZX26vyVoBbB8aNMWaj,STEP_USD,STEP,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,
6vmBbqQDd1YNkt1qVFueDDi4DTVz9mUykAbko7mni5Wa,RATIO/USD,RATIO,ratioMVg27rSZbSvBopUvsdrGUzeALUfFma61mpxc8J,
AV6G4vx21JXyu68q8nJVF6aStKXvPPE1f8B9Xrq2FhTR,C98/USD,C98,C98A4nkJXhpVZNAZdHUA95RpTF3T4whtQubL3YobiUX9,
9LNYQZLJG5DAyeACCTzBFG6H3sDhehP5xtYLdhrZtQkA,STSOL_USD,stSOL,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,
APaudjcBM3h4hCvBbvnsz4KBsDpJdoGMtwM4tUYTSpoY,LFNTY/USD,LFNTY,LFNTYraetVioAPnGJht4yNg2aUZFXR776cMeN9VMjXp,
5fevbozAT1td5Q5DbEkEJzqV6MrxAoFijuZMJDj8Gu7Y,BONK/USD,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,
HeqreCR28Su4wPvzDFd4hkApi7XiGtWJxD4Q6EebtBCs,SUSHI_USD,SUSHI,ChVzxWRmrTeSgwd3Ui3UumcN8KX7VK3WaD4KGeSKpypj,
Gwn6gRTuDRRA8RAkmKdULX4kW8As33nbBN99oKZ9yXLv,HDG/USD,HDG,5PmpMzWjraf3kSsGEKtqdUsCoLhptg4yriZ17LKKdBBy,
